FIPS,year,agi,donating_pct,avg_giving_per_person,avg_giving_per_donor,avg_agi,avg_income,itemizing_pct,giving_pct_agi,giving_pct_income,total_returns,agi_pct
01073,2010,1,0,NaN,0,-52707.39973639616,NA,5311,NaN,NaN,5311,0.017637779585872506
01073,2010,2,6.991203070815666,2413.3893062306674,168.72494728793532,12993.234319608888,NA,129477,18.574199824815548,NA,129477,0.42999186357371766
01073,2010,3,30.092704554615075,3138.0480400035717,944.3235254601639,35809.61977697165,NA,74430,8.763142584444806,NA,74430,0.2471813094664829
01073,2010,4,54.82604917159597,3919.5173083806308,2148.91648678198,61168.45616887668,NA,35671,6.4077427384458545,NA,35671,0.11846304568022184
01073,2010,5,68.38483079405762,4666.990560799556,3191.513598177417,86506.90588067778,NA,21069,5.394934096055766,NA,21069,0.06996994503761021
01073,2010,6,84.17782580172114,6265.0254435428415,5273.762204299001,133012.1946513333,NA,25913,4.710113580161157,NA,25913,0.08605682214436344
01073,2010,7,95.30506274340112,28031.32803632236,26715.274772825618,544298.4638684553,NA,9244,5.149992126947634,NA,9244,0.0306992345117314
01073,2011,1,0,NaN,0,-76324.17829806394,NA,4442,NaN,NaN,4442,0.01466669748368074
01073,2011,2,7.073118477029963,2572.912159238425,181.98512533284364,12928.1210785664,NA,130692,19.901671276145994,NA,130692,0.43152184320963605
01073,2011,3,29.77883202824912,3327.6759447838876,990.9430300416459,35823.53733978463,NA,74197,9.289076936264088,NA,74197,0.24498535641527688
01073,2011,4,52.811982833581105,4123.698746547695,2177.8070741353677,61171.13124456537,NA,35651,6.741249773624314,NA,35651,0.11771328950713689
01073,2011,5,65.46399123016062,4846.741900254823,3172.8706925313377,86541.91887898574,NA,20981,5.6004557826273444,NA,20981,0.069275547029515
01073,2011,6,82.71467320625719,6298.863483221778,5210.084345855163,133510.94266711254,NA,26913,4.7178630885162365,NA,26913,0.08886196068849612
01073,2011,7,95.20376489436268,25054.059739167016,23852.40813056974,516417.4426754781,NA,9987,4.851513072324948,NA,9987,0.032975305666258344
01073,2012,1,0,NaN,0,-110238.6301369863,NA,3650,NaN,NaN,3650,0.012310701878646834
01073,2012,2,6.93687920538289,2646.997690531178,183.61903236142263,12988.337071451459,NA,124840,20.379804404286016,NA,124840,0.4210597322000742
01073,2012,3,28.30760749724366,3467.0886075949365,981.4498346196251,35871.444321940464,NA,72560,9.665316446358759,NA,72560,0.2447300077574286
01073,2012,4,49.914236706689536,4313.97479954181,2153.2875929102343,61223.64208118925,NA,34980,7.046256401768793,NA,34980,0.11798037033289487
01073,2012,5,62.52916472235185,5051.194029850746,3158.469435370975,86681.80121325245,NA,21430,5.827283188802136,NA,21430,0.07227899760531553
01073,2012,6,80.37316110513096,6418.660714285715,5158.880516684607,133981.73663437387,NA,27870,4.790698251510024,NA,27870,0.09399979763229789
01073,2012,7,94.89247311827957,26108.309726156753,24774.820788530466,584801.9713261649,NA,11160,4.4644701978262,NA,11160,0.0376403925933421
01073,2013,1,0,NaN,0,-97363.01775147929,-127465.09803921569,3380,NaN,NaN,3380,0.011398509425690487
01073,2013,2,6.451087399201759,2649.873737373737,170.94567076647388,12967.581656756536,13196.5056609921,122770,20.434602283711598,20.080116702458355,122770,0.41402218999763934
01073,2013,3,25.773480662983427,3678.2422293676314,948.0110497237569,35941.4226519337,36336.4364640884,72400,10.233991750935147,10.122737910754866,72400,0.24415742083431693
01073,2013,4,46.73028346898681,4413.513513513513,2062.4473758069043,61142.18355318552,61802.89082234073,35630,7.218442746118721,7.141273579258045,35630,0.12015647657909824
01073,2013,5,58.84811890385508,5240.805051302289,3084.1151881096143,86609.38225731537,87478.21644217371,21530,6.051082359335994,5.990982972048421,21530,0.07260648163760834
01073,2013,6,77.78537252221463,6533.040421792619,5081.74982911825,134168.93369788106,135717.01982228298,29260,4.8692646216475035,4.813722280630257,29260,0.09867467035375847
01073,2013,7,93.77162629757785,27017.158671586716,25334.429065743945,506413.4083044983,518075.0865051903,11560,5.335000659252239,5.214911771542222,11560,0.038984251171888175
01073,2014,1,0,NaN,0,-97068.3734939759,-133222.59414225942,3320,NaN,NaN,3320,0.011232913790770063
01073,2014,2,5.68029490616622,2712.6843657817108,154.08847184986595,13024.53920911528,13250.871313672922,119360,20.827488191545594,20.47174334100298,119360,0.4038435512247936
01073,2014,3,23.586206896551722,3788.8888888888887,893.6551724137931,36002.027586206896,36399.07586206897,72500,10.524098621435668,10.40929968454843,72500,0.2452970632020571
01073,2014,4,44.81988271432561,4554.517133956387,2041.3292376431164,61179.698408265846,61846.02066461882,35810,7.444490987129542,7.364284856183087,35810,0.12115983218297469
01073,2014,5,55.319148936170215,5373.327759197325,2972.4791859389456,86609.29694727104,87524.69935245144,21620,6.204100424078817,6.139213043805588,21620,0.07314927595073759
01073,2014,6,75.94895287958116,6659.069366652305,5057.4934554973825,134708.47513089006,136297.51308900522,30560,4.943318792809429,4.885686624600251,30560,0.10339694139937745
01073,2014,7,93.22033898305084,27552.81385281385,25684.826472962068,539389.9112187248,550640.5165456013,12390,5.108144086447526,5.00377524444881,12390,0.041920422249289484
01073,2015,1,0,NaN,0,-81704.49101796407,-112820.16806722688,3340,NaN,NaN,3340,0.011294467739753821
01073,2015,2,5.59560590456574,2845.245398773006,159.20871953312735,13048.729831788534,13274.96567112942,116520,21.804769011628927,21.433165774288103,116520,0.3940213715676992
01073,2015,3,22.292555387367553,3910.432098765432,871.7352415026834,36073.12508600523,36471.00591715976,72670,10.840292016403385,10.72202973410601,72670,0.2457392127688354
