MSA,year,cdfi,cdfi_pp
28940,2004,2947280.49449189,3.9446920464502857
28940,2005,1078245.5394905813,1.433763340913503
28940,2006,5249813.027500534,6.733103146294883
28940,2007,1521584.0066280835,1.9153178026331914
28940,2008,2972016.8525794973,3.6767279441856777
28940,2009,3805278.150026612,4.657549084318869
28940,2010,3219128.213179344,3.9465093518117715
28940,2011,5033585.45154612,6.133208382432431
28940,2012,12143946.3330795,14.712231089998328
28940,2013,11382255.908061821,13.718189157862678
28940,2014,10840321.473955123,12.983851482983901
28940,2015,25266504.71643638,30.11807479474843
28940,2016,12225422.582316812,14.453912331707077
28940,2017,9082591.869528161,10.640050548694402
31140,2000,0,0
31140,2001,21153.336692768677,0.019326140146511548
31140,2002,0,0
31140,2003,40487.43658649756,0.03668709295343453
31140,2004,859996.9938068654,0.776093963268409
31140,2005,24542.19644799531,0.0220578095974556
31140,2006,2467435.8443051497,2.1632715239854843
31140,2007,597661.0192110908,0.5174052552575774
31140,2008,466347.8676391209,0.39929128802028263
31140,2009,337830.99574082415,0.2860136218556197
31140,2010,3114536.509063444,2.5859566300539054
31140,2011,6120975.998258699,5.048519088325675
31140,2012,442849.7091631102,0.36319132011385785
31140,2013,4475679.508520683,3.6376193088196507
31140,2014,4130174.91573269,3.3368328864746766
31140,2015,2975387.6864237217,2.388173928249919
31140,2016,1145143.863725609,0.9151757545859801
31140,2017,1328882.4672862915,1.0533677991989983
32820,2000,5105397.153707003,4.236126957516738
32820,2001,5594537.190500999,4.61462934991833
32820,2002,7526373.195446225,6.171727067308153
32820,2003,9842547.184097132,8.024013996822706
32820,2004,10948148.141452283,8.873659878521336
32820,2005,18391575.836631972,14.820865232331816
32820,2006,29091529.20661158,22.842374414910832
32820,2007,54295216.99977562,42.426656758251944
32820,2008,55034804.22812381,42.81498061172996
32820,2009,29256556.93933938,22.427685536456853
32820,2010,14629751.059210919,11.10740432263111
32820,2011,21942964.00884362,16.554530537129963
32820,2012,42266525.90574531,31.706798584700802
32820,2013,48310870.16210851,36.23582501367614
32820,2014,36767441.66989508,27.54534335175692
32820,2015,38183505.91644771,28.579826737758662
32820,2016,160716721.6428852,120.40374257322941
32820,2017,258266300.4599267,192.69635542226132
34980,2000,866402.5143443093,0.6375331969167658
34980,2001,4612549.754337195,3.3548049213914815
34980,2002,4031664.8870551568,2.8987579097850635
34980,2003,2744849.3842092645,1.951210984983803
34980,2004,10374804.823762355,7.292550451675332
34980,2005,13664009.51481419,9.49829862357778
34980,2006,14968902.600123229,9.921697983762275
34980,2007,9072760.513785873,5.750551754294724
34980,2008,8209936.555855956,5.104729562802932
34980,2009,8404442.013476625,5.119845860463287
34980,2010,13007732.52038114,7.879501076052039
34980,2011,16043366.375637617,9.585494272696463
34980,2012,7915780.920914133,4.649460516620186
34980,2013,13344607.1416706,7.695789735071689
34980,2014,22576504.138203606,12.76657700303358
34980,2015,24342905.700573396,13.474512299462354
34980,2016,30550500.242665295,16.582372191716924
34980,2017,48307290.27714575,25.728787221031656
36420,2000,0,0
36420,2001,216977.81052177388,0.19694079518334656
36420,2002,0,0
36420,2003,111916.49137731033,0.10042920391402768
36420,2004,159568.45266842702,0.14238255669729294
36420,2005,1547073.124011581,1.3727081987812981
36420,2006,3824669.8758615283,3.266337535919784
36420,2007,1007930.6096461156,0.8446546437382861
36420,2008,1204751.8502884414,0.9950804407738624
36420,2009,2208277.851737616,1.7928364183648564
36420,2010,1156646.4485164266,0.9199300484494215
36420,2011,629346.6905897636,0.49234522988599655
36420,2012,1558839.447711038,1.2018196820447362
36420,2013,7296853.9279071335,5.528635851998352
36420,2014,3630940.9958967934,2.7163611957994793
36420,2015,5994811.781010596,4.417515709393205
36420,2016,10369633.373731395,7.555717828577067
36420,2017,10765228.876900366,7.780030987136204
36540,2000,92149.87998856117,0.12013683752049913
36540,2001,2720.8613663603674,0.003520775141000406
36540,2002,53738.783239958975,0.06902307308360173
36540,2003,0,0
36540,2004,172120.3968313844,0.21785070101564413
36540,2005,453366.7245701092,0.5696671142874671
36540,2006,334112.48272668995,0.4073166536751487
36540,2007,74739.41442089198,0.090115127886223
36540,2008,3032535.3390789437,3.617426115399551
36540,2009,442170.16928642994,0.520156138875801
36540,2010,618443.0658370119,0.7126381514147048
36540,2011,1578780.4602687203,1.8003946369159824
36540,2012,4676596.822365725,5.278188966161968
36540,2013,1215102.2156429514,1.3573922116180221
36540,2014,5625816.3554128455,6.219890540740005
36540,2015,2438954.3645524234,2.664254371198449
36540,2016,3266383.6171194767,3.536405888755395
36540,2017,1737958.6379288542,1.8637106503506113
39580,2000,3183797.690027781,3.9943715052081696
39580,2001,3051084.1478114263,3.7051068580248847
39580,2002,7505157.123823089,8.830734371047136
39580,2003,28583221.731490217,32.618069469281615
39580,2004,88399629.30637118,97.9269445384275
39580,2005,35063912.53278898,37.73885323243335
39580,2006,44126513.31334568,44.372967111679245
39580,2007,25092119.660074014,23.951821349277605
39580,2008,21788798.75941436,20.020746605900666
39580,2009,8143508.733172387,7.236448819449651
39580,2010,87803651.28525501,77.21215160147437
39580,2011,5768486.525021307,4.957750537392112
39580,2012,9304479.5424393,7.826703921595088
39580,2013,25558305.400515497,21.043401518021046
39580,2014,25403476.511318102,20.435536324277315
39580,2015,7664238.481632014,6.0171893452836045
39580,2016,11711326.077374151,8.986984603665254
39580,2017,15637662.20132532,11.714929704652226
40060,2000,37559.95832992892,0.03610867833047065
40060,2001,265828.1554934079,0.2533133953707797
40060,2002,782059.169021542,0.7387558747364004
40060,2003,692065.2493851983,0.6481050781759081
40060,2004,1374807.8162489627,1.2764674508941296
40060,2005,3304817.7801685845,3.0424007214813082
40060,2006,3752305.114176223,3.336381331608062
40060,2007,3632421.8832711237,3.177438158481798
40060,2008,6187193.143642036,5.363759511028034
40060,2009,4355622.927514614,3.7381224757461133
40060,2010,5592781.592587506,4.70872346984717
40060,2011,1427745.0142670828,1.193129268114346
40060,2012,7387292.092986149,6.1008034647643585
40060,2013,12680599.855414417,10.36287117665687
40060,2014,15144284.576522378,12.24156474434362
40060,2015,9237812.911439544,7.402674978836114
40060,2016,22129656.60776907,17.58911461538143
40060,2017,23553832.206900027,18.53094534685389
41180,2000,1223498.9492826213,0.4573241447106488
41180,2001,349592.5935181782,0.130378257257311
41180,2002,2157772.0199644915,0.8029215600832996
41180,2003,9851805.969595546,3.6577179372288375
41180,2004,7609202.5460482845,2.818788444142803
41180,2005,16215293.509127025,5.993483221501843
41180,2006,13412114.279291973,4.8430012566008855
41180,2007,30159454.32335613,10.855792556792778
41180,2008,16914700.33418743,6.059853835164552
41180,2009,49592294.97092322,17.679281856856573
41180,2010,37523631.510632396,13.452840565793654
41180,2011,54158041.542947374,19.398433936361585
41180,2012,63559107.07610931,22.73335894607773
41180,2013,76974951.99496599,27.482328644571773
41180,2014,48524744.70619675,17.292987226891153
41180,2015,59357707.31661688,21.114068864764388
41180,2016,66708542.51244067,23.766099742290425
41180,2017,30364847.227724407,10.818122531565423
46140,2000,417332.87033254356,0.48553500082899015
46140,2001,288154.1834350779,0.33412391967182886
46140,2002,300700.7354975144,0.3475094968993493
46140,2003,1958933.5984842626,2.256349023132111
46140,2004,652209.1404141834,0.7487427292523757
46140,2005,2393330.8872029614,2.738497949843819
46140,2006,1824331.7716546762,2.0350887618260027
46140,2007,3786893.196181124,4.183316850925364
46140,2008,1617155.75839239,1.7606792915199285
46140,2009,4840476.627221181,5.193839497428746
46140,2010,2030410.7404008561,2.160284908835114
46140,2011,13746302.522183083,14.515493012403349
46140,2012,4207157.704159034,4.41940864305924
46140,2013,2146744.1272485354,2.232419939694116
46140,2014,3847481.8660631664,3.9687837733106326
46140,2015,2368429.867685988,2.4157446422490785
46140,2016,3240061.4191378956,3.284983569450126
46140,2017,2922328.499340997,2.950630951427086
