zip,year,sba_loan_7a,total_loan_7a,total_loan_504,sba_loan_7a_pp,total_loan_7a_pp,total_loan_504_pp
40018,2010,358988.9602713062,398876.62252367364,NA,NA,NA,NA
40018,2017,19099.75267152513,38199.50534305026,NA,NA,NA,NA
40023,2014,134680.2828402578,158447.3915767739,NA,27.72340116102466,32.61576607179372,NA
40023,2015,26439.454476503804,52878.90895300761,NA,5.4424566645746815,10.884913329149363,NA
40023,2016,353633.704706493,471511.60627532395,NA,72.79409318783306,97.05879091711074,NA
40023,2017,116863.71580690578,172978.89211947288,NA,24.0559316193713,35.607017727351355,NA
40023,2019,227025,302700,NA,46.73219431864965,62.3095924248662,NA
40027,2012,528799.2064830092,705065.6086440121,NA,NA,NA,NA
40059,2009,28897.04502009483,57794.09004018966,NA,1.5366681744267392,3.0733363488534784,NA
40059,2010,790995.1354143033,1028303.9328660306,1741381.3691890666,42.06302235651706,54.68247449433824,92.60204037166001
40059,2012,90031.4546422354,180062.9092844708,300466.4209144483,4.787633854944717,9.575267709889435,15.978006961682972
40059,2014,26407.89859612898,52815.79719225796,321120.0469289284,1.4043019726737027,2.8086039453474054,17.076311987712227
40059,2015,165246.59047814878,237955.09028853424,NA,8.787375191605891,12.653820275912482,NA
40059,2016,1379459.5943369353,1905640.3518509595,1691154.961174162,73.35600076240017,101.33689720026373,89.93113327169168
40059,2017,308890.878784773,411854.505046364,NA,16.42599727651013,21.901329702013506,NA
40059,2018,63061.50111096166,126123.00222192332,NA,3.3534432922606574,6.706886584521315,NA
40059,2019,374750,679500,NA,19.928210582291943,36.13400691305504,NA
40118,2019,243000,324000,NA,26.82711415323471,35.76948553764628,NA
40201,2010,654385.5904374097,727095.1004860108,NA,NA,NA,NA
40201,2016,494301.3339119646,685263.5344534708,NA,NA,NA,NA
40202,2010,1018616.9291761699,1164719.737769127,174366.06641749162,149.20417887449392,170.60491251928033,25.540657157974458
40202,2011,74645.2139000255,149290.427800051,406954.6476327316,10.933823626779771,21.867647253559543,59.60958658748083
40202,2012,333550.2687046673,667100.5374093346,NA,48.85751702133694,97.71503404267388,NA
40202,2013,234679.59558330456,425423.74176516855,NA,34.37521540695833,62.31488820348155,NA
40202,2014,988342.0128587233,1543066.3307690087,NA,144.76959321205848,226.02407071466365,NA
40202,2015,923133.55304713035,1311925.7311241187,NA,135.21803911632202,192.16723760423594,NA
40202,2016,3804941.4921064395,5320536.965210755,4911055.330249875,557.3372626492514,779.3374784254805,719.3577457521423
40202,2017,1615087.4415393162,2228956.581310922,NA,236.57352300268292,326.49136975405327,NA
40202,2018,677684.1155388384,945619.8214590923,396530.71898572694,99.26528717428423,138.51176526425843,58.08271846868712
40202,2019,575000,900000,4982000,84.22440310531712,131.82950051267028,729.749523949026
40203,2009,1061908.6103984448,1228702.3542544323,691217.3168806684,56.65023261661482,65.54827176604067,36.874756835458435
40203,2011,3776550.1885819566,5485151.488378022,142655.29767560426,201.46973532045646,292.6194445653786,7.610311959221353
40203,2012,650829.7925944728,922008.8728421697,NA,34.720180986634986,49.18692306439956,NA
40203,2013,3607421.874756331,4988495.220819175,3845959.2171163475,192.4471525610206,266.1240448556509,205.1725375895624
40203,2014,132039.4929806449,264078.9859612898,NA,7.043984688217919,14.087969376435838,NA
40203,2015,846591.3323376519,1182901.1932787802,NA,45.16358134636713,63.10489161263165,NA
40203,2016,1427999.094694056,1984330.3999204636,NA,76.18026645473759,105.85918377809888,NA
40203,2017,180186.34595778424,360372.6919155685,NA,9.61250178489113,19.22500356978226,NA
40203,2018,293740.47217485943,400062.16304794076,NA,15.670337272598529,21.342339986553256,NA
40203,2019,3917150,5231200,NA,208.97039210456123,279.07175246732464,NA
40204,2010,2189718.6929056756,2788489.4856883558,NA,151.48520877936187,192.9083006356524,NA
40204,2011,2278558.9774860376,3103471.5302078747,454506.4135245997,157.6311987192001,214.69882602614146,31.442851160470404
40204,2012,598682.0554628406,840763.6203999597,1940557.4982525196,41.41695298947358,58.164207568312676,134.2481838984794
40204,2013,639207.2089746172,971723.5492006419,792981.2818796593,44.2204918003886,67.22404352823534,54.85861514214177
40204,2014,2157498.9074051417,2914058.794285641,NA,149.25623710862274,201.59521233383887,NA
40204,2015,467978.3442341173,750880.5071327081,323618.9227924066,32.37484221612711,51.94607451627174,22.38802648166078
40204,2016,3644994.2772221547,4982829.874760673,NA,252.16148579883463,344.71323934698535,NA
40204,2017,424724.95832906285,592040.8510041483,NA,29.382563703152048,40.957513040757405,NA
40204,2018,630615.0111096166,873780.1593934848,NA,43.626081709416574,60.448298816567615,NA
40204,2019,488750,775000,477000,33.81182981667243,53.614666205465234,32.99896229678312
40205,2010,42736.78098467932,85473.56196935863,NA,1.755536517609239,3.511073035218478,NA
40205,2011,257166.5850733471,383842.2776992422,NA,10.56385906479408,15.767428429972156,NA
40205,2012,142369.0171300409,189825.3561733879,85692.58935827225,5.848217923514661,7.797623898019549,3.5200702168202533
40205,2013,643225.6952003588,1010515.3362331333,NA,26.422350279344347,41.50983142594205,NA
40205,2014,1841950.9270799966,2455934.569439995,NA,75.6634459037133,100.88459453828439,NA
40205,2015,613971.723962476,819411.5731358059,NA,25.220659052024153,33.659693277021276,NA
40205,2016,141453.4818825972,282906.9637651944,968170.4982186652,5.810609673126733,11.621219346253467,39.77039509606742
40205,2017,329483.6040370912,478780.8621163981,NA,13.534489156962339,19.667304556210897,NA
40205,2018,1217313.9928455595,1682178.1544351245,1449910.0335432305,50.004682584848815,69.10031853578396,59.55923568613336
40205,2019,197500,290000,568000,8.112882024318107,11.912586263555701,23.332237923102202
40206,2009,288970.4502009483,577940.9004018966,NA,14.532081981440697,29.064163962881395,NA
40206,2010,1801885.254588443,2034384.7396200278,1105458.0681370383,90.61530070849601,102.30750513553069,55.59256063047716
40206,2011,654583.2331521865,1112379.565363491,NA,32.91844270315245,55.940636930525066,NA
40206,2012,219112.69684013916,329753.76158119953,NA,11.018994057839535,16.583040562293164,NA
40206,2013,401848.62257415167,535798.1634322022,NA,20.208630755552008,26.944841007402676,NA
40206,2014,237671.08736516084,475342.1747303217,NA,11.952279978132303,23.904559956264606,NA
40206,2015,426468.4007060064,733959.2562677456,461104.08607022633,21.44673878330432,36.91019644293415,23.188538399307333
