year,MSA,num_under_100k,num_100k_250k,num_250k_1m,num_business_1m,amount_under_100k,amount_100k_250k,amount_250k_1m,amount_business_1m,all_sb_loans,num_under_100k_pp,num_100k_250k_pp,num_250k_1m_pp,num_business_1m_pp,amount_under_100k_pp,amount_100k_250k_pp,amount_250k_1m_pp,amount_business_1m_pp,all_sb_loans_pp
2000,13820,5773,393,288,2935,NA,NA,NA,NA,NA,0.005881663737551259,4.0039734087262167e-4,2.9342095208986015e-4,0.0029902447721657623,NA,NA,NA,NA,NA
2000,16740,32725,1556,1233,12718,593324923.9709128,371490245.63608146,882251425.6499716,904283818.9843943,1847066595.2569659,0.018778903587473538,8.928945449078327e-4,7.075443276808212e-4,0.007298093073353352,340.47338558578576,213.1758443540668,506.2708773779036,518.9139389586039,1059.9201073177562
2000,17140,26536,1533,1267,11026,504989466.417191,377857354.1277883,927273295.7014464,861789595.0175669,1810120116.2464256,0.013156296464865063,7.600468224539547e-4,6.281665518911681e-4,0.005466585951974758,250.3689754227685,187.3380830695918,459.73328241636705,427.26708631244765,897.4403409087273
2000,18140,22927,1240,1023,10046,456300631.54506093,302687357.52349055,714436314.0509847,715087353.3287034,1473424303.1195362,0.01368765496148388,7.402927619069225e-4,6.107415285732111e-4,0.005997565392029793,272.4161732148114,180.7074676575588,426.52583236726207,426.9145095164655,879.6494732396322
2000,19430,9633,508,474,3976,190981259.23114637,121320056.5152382,329487083.34667873,272007827.1157775,641788399.0930632,0.01195434193413881,6.304168693597546e-4,5.882236143238655e-4,0.004934128883020442,237.00355817102957,150.5555319269389,408.8862511375782,337.5557535662949,796.4453412355466
2000,24340,13760,1143,964,6790,315964107.2383365,279491996.5904078,709168182.1178203,552086871.9437864,1304624285.9465644,0.014709765424140478,0.001221894031961669,0.0010305387986098416,0.0072586705835693205,337.77310319214365,298.78355434371866,758.117558518697,590.1939229680655,1394.674216054559
2000,24660,13897,737,602,6046,275027925.98741734,178888343.75847703,439916143.05580527,454894219.7720403,893832412.8016996,0.021598309062368867,0.0011454237446186842,9.356107113438914e-4,0.009396515549477022,427.44032138292795,278.02300756644394,683.7047434154535,706.9832301447559,1389.1680723648255
2000,24860,13512,786,520,6784,296019769.36514425,184801950.5310892,360791221.9503228,480262493.8499878,841612941.8465562,0.018619777312313967,0.0010831220372616028,7.165692867379561e-4,0.009348473156212105,407.9205288352225,254.66038823047236,497.17674725818927,661.8102935866881,1159.757664323884
2000,26900,22176,1422,1358,10668,457880932.0140535,347148610.41915196,990883171.7975327,863575779.7025902,1795912714.2307382,0.013371424850252825,8.574209116639392e-4,8.188309409561388e-4,0.006432465742356472,276.08768365754145,209.3196048020105,597.4711339768609,520.7088131670127,1082.8784224364128
2000,27260,18656,523,486,6424,274294811.2451998,124789483.77726941,350912952.9095515,320069271.572841,749997247.9320207,0.01661634379870853,4.6582052994878644e-4,4.3286573146292587e-4,0.00572166555332888,244.3062224406144,111.14627813606717,312.5477202489882,285.07617151889644,668.0002208256697
2000,28140,26438,1352,1143,11135,483300677.14600873,321525763.29030156,838626229.604543,608009476.5683472,1643452670.0408533,0.01459651710914096,7.464441762447453e-4,6.310545069879763e-4,0.006147674484086716,266.832082715074,177.51555733779003,463.008628057988,335.6842698861381,907.356268110852
2000,28940,12002,585,450,4734,239786947.30696955,140450595.291282,300067898.2073699,352085658.27518594,680305440.8056215,0.01649532710280374,8.040131940626718e-4,6.184716877405168e-4,0.006506322155030236,329.558751109084,193.0327038087988,412.40777653569256,483.900025117078,934.9992314535755
2000,31140,16703,1060,809,6886,334767735.2659532,251637809.71484601,569463221.5548657,521771812.2428304,1155868766.5356648,0.015323515812495872,9.724556523526088e-4,7.421854931634532e-4,0.0063172920963208146,307.11960036288485,230.85529283286058,522.431819441467,478.67919627717407,1060.4067126372124
2000,32820,17341,795,637,7932,322676210.9028516,188274160.01225594,453316701.52218324,505563994.66868216,964267072.4372908,0.014388435484781,6.596393639583008e-4,5.285412262156448e-4,0.0065814584087009334,267.73576166595166,156.21766938398474,376.13275555190927,419.48416589115385,800.0861866018456
2000,34980,25651,1321,974,10592,531114504.10000825,315642760.92818046,706858940.2353134,721322306.4114716,1553616205.2635021,0.01887501913182712,9.720439855422254e-4,7.16707677455055e-4,0.007794012032447579,390.81503356900424,232.262412823755,520.1347323864404,530.7774485879767,1143.2121787791996
2000,36420,18369,826,686,8584,338187082.5835445,199828716.0821963,493671398.97377247,559310903.9292427,1031687197.6395133,0.01676889524666772,7.540479870296443e-4,6.262432434652978e-4,0.007836256562545359,308.7279526168884,182.421841540555,450.66818964925125,510.5899046387122,941.8179838066947
