neighborhood,year,amount_business_1m,all_sb_loans,amount_business_1m_pp,all_sb_loans_pp
Airport,2012,NA,NA,NA,NA
Airport,2013,NA,NA,NA,NA
Airport,2014,NA,NA,NA,NA
Airport,2015,NA,NA,NA,NA
Airport,2016,NA,NA,NA,NA
Airport,2017,NA,NA,NA,NA
Airport,2018,NA,NA,NA,NA
Algonquin-Park Hill-Park Duvalle,2012,429025.2412916461,1267020.4122991709,30.020659246494024,88.6586251696292
Algonquin-Park Hill-Park Duvalle,2013,347061.4547406865,1324447.0194939126,22.55549845588396,86.07571453135196
Algonquin-Park Hill-Park Duvalle,2014,206142.6022608229,1627598.7438396912,13.310686528108924,105.09451435653718
Algonquin-Park Hill-Park Duvalle,2015,331885.8712220524,1657071.6072625637,21.61841266428168,107.93848405827018
Algonquin-Park Hill-Park Duvalle,2016,123912.86925141398,1319323.9895875324,7.831681788106054,83.38541205837014
Algonquin-Park Hill-Park Duvalle,2017,318153.55185110995,1720284.5556674548,20.108301848761847,108.72737679607224
Algonquin-Park Hill-Park Duvalle,2018,104733.09316142081,2347103.147516117,6.61945981300852,148.34427679914782
Buechel-Newburg-Indian Trail,2012,1522989.6506229953,5444928.834832093,47.223021010914245,168.82976759889902
Buechel-Newburg-Indian Trail,2013,1481785.6391515853,5391124.536997328,43.78022924870251,159.2839489746891
Buechel-Newburg-Indian Trail,2014,1256204.563851383,4790271.795664544,37.14713202978925,141.65277214609645
Buechel-Newburg-Indian Trail,2015,957598.7051388341,4599760.640152186,27.83555331488966,133.7061984812565
Buechel-Newburg-Indian Trail,2016,1190818.7191422835,5654026.27648469,34.2671784737787,162.7011100827225
Buechel-Newburg-Indian Trail,2017,1193522.0652609386,5626454.960243751,34.34497036807397,161.90771374187077
Buechel-Newburg-Indian Trail,2018,1333288.8837731287,6231228.19487209,38.366921348252674,179.3107592550456
Butchertown-Clifton-Crescent Hill,2012,1662138.8109882995,3248681.5038352595,75.34627429684042,147.2657073361405
Butchertown-Clifton-Crescent Hill,2013,1435419.035618813,3239008.0778929694,65.82075548508864,148.5238480325096
Butchertown-Clifton-Crescent Hill,2014,1130929.6126929042,3489537.993517676,50.449641463750915,155.66480766907597
Butchertown-Clifton-Crescent Hill,2015,1091955.7015116734,3207491.6489400575,47.99594310191523,140.98244687882104
Butchertown-Clifton-Crescent Hill,2016,1948791.989649061,4950848.190260457,86.04318025736505,218.5901448302555
Butchertown-Clifton-Crescent Hill,2017,1895672.2837445114,5135828.636076623,83.697835831361715,226.75741251607676
Butchertown-Clifton-Crescent Hill,2018,1391059.6052805863,3946951.3444302175,61.418146729682825,174.26603136695738
California-Parkland,2012,1158728.6212877107,3611025.8758327644,126.80330721029883,395.16588704670215
California-Parkland,2013,624263.5437804841,3512693.2880713055,67.41506952273046,379.34052786947143
California-Parkland,2014,178491.14356576835,2698418.390521481,19.990048557035315,302.2083537374265
California-Parkland,2015,344824.6916944145,2391293.766926935,37.98047050274419,263.38735179281144
California-Parkland,2016,685319.2826380909,2762710.960810741,77.1061299097762,310.83606669787815
California-Parkland,2017,405505.16884218453,3720975.056428483,45.623893884134176,418.6515590041048
California-Parkland,2018,323781.2781278128,2927342.3717371738,36.42903669304824,329.3589527157036
Chickasaw-Shawnee,2012,25904.227202250826,250821.6693248615,1.3944246757953829,13.501731674913145
Chickasaw-Shawnee,2013,21631.005239165126,114166.33230427977,1.1535920878441217,6.088546333757121
Chickasaw-Shawnee,2014,178945.1987092303,410237.34330651927,9.721055992461446,22.285818302179447
Chickasaw-Shawnee,2015,153845.6647508217,265355.66665827273,8.565540045143461,14.773991796574396
Chickasaw-Shawnee,2016,107466.60627261206,123817.00915775025,6.041862386721316,6.961095696730772
Chickasaw-Shawnee,2017,73338.89846532542,115188.19849117384,4.123174142088346,6.4759767521883305
Chickasaw-Shawnee,2018,69860.34744476303,91688.76145499523,3.9276070975860478,5.154818769606748
Downtown-Old Louisville-University,2012,4169607.7810080303,11464709.419708734,256.60703926444893,705.5639989973989
Downtown-Old Louisville-University,2013,3261087.502744112,11328417.274457296,199.9317946627498,694.5262261331185
Downtown-Old Louisville-University,2014,2173087.078445139,8972300.815801537,131.47117662563608,542.821756658088
Downtown-Old Louisville-University,2015,2233808.8570828917,11125864.583090385,130.70088684587748,650.9779757235027
Downtown-Old Louisville-University,2016,3571955.1715303836,14955686.024796402,204.08839969891346,854.5129713630672
Downtown-Old Louisville-University,2017,4225061.661359306,16100039.345972465,241.40450584843484,919.8971172421703
Downtown-Old Louisville-University,2018,3179190.3782424866,14943706.490686778,181.64726192677904,853.8285047815551
Fairdale,2012,443059.74040043866,1526397.5652922946,29.733557506237076,102.43591472332693
Fairdale,2013,267904.86649588385,1911577.1556828388,18.965373530786056,135.32331556582463
Fairdale,2014,319144.67483683856,1334253.6915299124,22.765152638336442,95.17466948640505
Fairdale,2015,364489.7609786746,2167657.8793890984,28.130721693190907,167.29627841237158
Fairdale,2016,187963.18478731136,1247207.3774836103,13.38006725422205,88.78184634706793
Fairdale,2017,519778.8409131003,1409661.6074559542,37.000202229007705,100.34607114578262
Fairdale,2018,470546.19874715264,887300.7545558086,33.49560070808319,63.16206965801599
Fern Creek,2012,734929.6755438308,1151981.527883416,27.192425187546927,42.62335915504555
Fern Creek,2013,418215.7003191656,938964.4330029292,14.925081200498397,33.509312051780064
Fern Creek,2014,302861.8239105384,860864.7376364894,10.78759835834509,30.663036068975583
Fern Creek,2015,776795.5246154082,1834842.6421052357,27.903140364790694,65.90907152215365
Fern Creek,2016,565812.3569756155,1305145.6817177297,20.450802652098726,47.17337194917157
Fern Creek,2017,515162.50166836125,912884.3543654882,18.6201070469643,32.995422502095934
Fern Creek,2018,777824.3756099325,1114333.935735714,28.113795337764575,40.27664494653247
Floyd's Fork,2012,1798604.5191769984,3173001.8069661735,39.3077456821251,69.34462064746756
Floyd's Fork,2013,1604077.4110547977,3623308.467055816,34.587778663018256,78.12727142885086
Floyd's Fork,2014,1212044.7403841654,3941566.1374698854,25.795320841598006,83.88631190477973
Floyd's Fork,2015,1349444.6719732555,4340807.9482356375,27.637263644566644,88.90179507722443
Floyd's Fork,2016,1807194.5182917777,4228956.45380273,36.2599221166087,84.85065115976585
Floyd's Fork,2017,1701009.5516081273,3449715.638602057,34.129405128573985,69.2158033427379
Floyd's Fork,2018,1719151.5248796148,3811903.3105939003,34.49340940769692,76.48281120774278
Germantown,2012,2361442.823616818,4667697.612101686,177.6589545303053,351.1659353070784
Germantown,2013,1363231.4330662466,3402286.2777449302,104.99317876357414,262.0368359322959
Germantown,2014,820423.2799270768,2745233.9194620014,63.23108130459166,211.5787221165319
Germantown,2015,1191052.9504789722,3209346.407803456,93.21851377310576,251.1815299212222
Germantown,2016,923412.3195803098,4086445.299904333,71.04811260908747,314.4145033395655
Germantown,2017,1378280.8996984411,5898490.750257273,106.04607984138194,453.8347888172096
Germantown,2018,1461343.6177579442,4712876.356082173,112.43699451857691,362.6126303056223
Highlands,2012,2011973.2485070867,3712687.765003923,97.36610765133017,179.66936532152164
Highlands,2013,1239190.243073776,3160741.2795150746,59.25454229779448,151.13763111533854
Highlands,2014,1128880.9146388252,2539009.086028645,52.77363913042051,118.69520293715324
Highlands,2015,1959006.8203298757,3520861.2792570973,91.8901834199482,165.15133351738342
Highlands,2016,2224417.7627160866,3699051.143971926,104.98479151954345,174.58236473343052
Highlands,2017,2493222.227480312,5014616.808274197,117.67142851993165,236.67249425496496
Highlands,2018,2817325.231262979,4325018.878610535,132.96796447342737,204.1258674065761
Highview-Okolona,2012,746206.2783472,1479564.8996387145,12.046660290060217,23.88590962075964
Highview-Okolona,2013,561497.0656458578,1579924.8539698457,8.896271399421032,25.03208146856337
Highview-Okolona,2014,555396.0623170871,1476619.8513503312,8.821551522690752,23.4536738409176
Highview-Okolona,2015,468499.7120356799,1727947.590925777,7.36380044694728,27.159592451129754
Highview-Okolona,2016,688918.1083141008,1996312.8139517282,10.688357897976895,30.972194770797117
Highview-Okolona,2017,825942.7379443921,2584643.1564394743,12.814253943749781,40.099963640361096
Highview-Okolona,2018,746258.5369637732,2073332.3248778218,11.577977456578592,32.16712939070393
J-Town,2012,5369548.760995028,12250282.685912663,102.18174962406569,233.1211380980164
J-Town,2013,2648208.17740337,9873478.136928212,50.65529519316303,188.86126622407107
J-Town,2014,2736322.7289374466,11844275.914410325,51.208435088190264,221.65763852176147
J-Town,2015,2982980.439822366,11896175.032719811,55.10058628705628,219.7420439388923
J-Town,2016,3842290.913831059,14488500.020373872,69.97178966038496,263.8494321892095
J-Town,2017,4159083.8112655557,15786318.052788785,75.74089108510992,287.4839388983972
J-Town,2018,3651894.230769231,15627564.922057109,66.50448409763314,284.592892665667
Northeast Jefferson,2012,2510849.9316995447,4931386.9514311,21.88982016058328,42.99228406534297
Northeast Jefferson,2013,1989151.7009382122,4771803.7686714865,17.24852545405697,41.37772836876847
Northeast Jefferson,2014,1800197.8345315414,4688497.183572397,15.317312911344128,39.89293680237219
Northeast Jefferson,2015,2498513.577264949,5983322.9661816945,21.084680691524394,50.49260302771918
Northeast Jefferson,2016,2619658.954617995,6865007.151701776,21.953062554412092,57.529599863418895
Northeast Jefferson,2017,2881001.58935983,7454710.7822723985,24.143145808764185,62.47138843771389
Northeast Jefferson,2018,2509112.3942009555,6638849.970669571,21.02666885276926,55.634375016086246
Phoenix Hill-Smoketown-Shelby Park,2012,4020780.5526103396,10208565.31948167,428.5175906011233,1087.9852200236248
Phoenix Hill-Smoketown-Shelby Park,2013,2782255.961200596,10716448.968863118,280.58248902789387,1080.7229698329083
Phoenix Hill-Smoketown-Shelby Park,2014,3828007.3842953467,10134566.82798047,383.9525962181892,1016.5062014022537
Phoenix Hill-Smoketown-Shelby Park,2015,3450330.734123013,10217539.216515485,333.71996654637906,988.2521729872798
Phoenix Hill-Smoketown-Shelby Park,2016,3773408.8826777716,14014102.537873847,368.2452310605808,1367.6297977821653
Phoenix Hill-Smoketown-Shelby Park,2017,4896504.642208582,13133126.60029904,477.8476278138559,1281.6557626914257
Phoenix Hill-Smoketown-Shelby Park,2018,3643685.859275886,12115430.760222504,355.58562108674596,1182.3392954252467
Pleasure Ridge Park,2012,1346297.3018308044,2602147.023106584,31.519614680092815,60.921663734848494
Pleasure Ridge Park,2013,571538.4119491411,1675383.8879164676,13.49113426374141,39.54734887915371
Pleasure Ridge Park,2014,862692.9875014621,2266548.2016491187,20.274329334245074,53.26662596999174
Pleasure Ridge Park,2015,664651.9055588613,1920804.0660058032,15.806228431839747,45.67905032118438
Pleasure Ridge Park,2016,653872.5224960725,2385084.1556502027,15.723381005532449,57.353055250569966
Pleasure Ridge Park,2017,668393.3019050935,2115610.2572686174,16.072555713583743,50.87313656684022
Pleasure Ridge Park,2018,814500.1202327707,2554376.376665224,19.585921229086008,61.42394980679132
Portland,2012,290571.82653763227,698186.6879839401,29.200263947104037,70.16246487628783
Portland,2013,308888.4360273573,1085839.498024473,29.069116885691447,102.18704103373545
Portland,2014,283588.4266688207,1079530.8213432173,26.832096382706094,102.14124527800334
Portland,2015,205543.15275670588,956464.1715175799,20.115791031190632,93.60581048322372
Portland,2016,333153.79296485696,1634904.2157116178,32.90732842402775,161.48797073405945
Portland,2017,516680.0427561559,1494074.3334118219,51.03516819005886,147.5774726799508
Portland,2018,430846.8984591071,1244930.264717503,42.556983253566486,122.96822053709037
Russell,2012,2117817.7837411053,3852054.5421318626,207.91456742009674,378.17146496484025
Russell,2013,743761.7923191176,2483926.240397552,70.62594172624799,235.8680315637216
Russell,2014,1432297.8385628841,5300958.179156716,137.36432708956403,508.3876646357261
Russell,2015,349684.4054185074,3258186.701412642,32.800338187647256,305.61736248125334
Russell,2016,424245.31766055396,4922949.640903618,41.18086950694564,477.8634867893242
Russell,2017,486657.3178797967,5651607.143354783,47.23911064645668,548.5931997044053
Russell,2018,826617.7441273539,4767431.275480489,80.23856961049835,462.7675476102203
Shively,2012,1300151.07719828,2064506.1545136075,43.208743010909934,68.6110387010172
Shively,2013,653711.3700281215,1842883.8107457203,21.717264211425583,61.22334177421748
Shively,2014,414068.30037017533,1709436.806707124,13.57511967642041,56.04343343738522
Shively,2015,513121.6125811397,1979361.7651917348,16.484246099368406,63.58782334848801
Shively,2016,871408.1562242678,2672619.4281380614,28.11356808053516,86.22465570196353
Shively,2017,540722.3331283724,1882478.1855952975,17.444906863091123,60.73293926943146
Shively,2018,563419.21538263,2192961.866047232,18.17715883928991,70.74983436724841
South Central Louisville,2012,521674.827577257,910741.3546594703,19.693273974226386,34.38057208982523
South Central Louisville,2013,199050.57089616416,563419.6220173192,7.725319059852681,21.86678654107425
South Central Louisville,2014,143103.59962745648,597966.3480753925,5.471994479483652,22.865033193461016
South Central Louisville,2015,446143.53444933135,1010166.0612613688,17.719577982736173,40.12098106527003
South Central Louisville,2016,390881.1746844012,1100915.82317685,15.755619923592294,44.37566299233545
South Central Louisville,2017,178732.1389805686,1172254.7673797414,7.204326614557966,47.25118978514819
South Central Louisville,2018,285296.303760732,1131779.313958644,11.499709934327543,45.619707120748274
South Louisville,2012,540145.2790330317,1362925.9486803615,10.031298128608098,25.311554222790207
South Louisville,2013,583238.0569329261,1606338.4488191374,11.095981145157735,30.560250534009427
South Louisville,2014,511198.7666211006,1493202.2294097089,9.84267028555944,28.750259533852724
South Louisville,2015,559466.0066838104,1934859.4661210198,10.517662224048472,36.3743249322471
South Louisville,2016,739437.4329794603,2007001.4151729986,14.16845375422906,38.456406813178994
South Louisville,2017,593185.3955640144,1544382.1178916942,11.366100051045516,29.592100210613236
South Louisville,2018,784710.4753875338,2056645.2125926919,15.035936220037437,39.40763786607699
Southeast Louisville,2012,1255543.9601127268,2275687.3470029896,22.712034154822213,41.165813697346096
Southeast Louisville,2013,1012995.4542001103,2428285.288401612,18.272582961147773,43.80181984201472
Southeast Louisville,2014,1869666.4680315473,2945588.318598917,33.41554310894244,52.64491561693804
Southeast Louisville,2015,1455636.9869493754,2599369.0786272883,26.102589157360676,46.61207686811477
Southeast Louisville,2016,1444647.2564597595,2900047.151350469,25.784380246658092,51.76067593614744
Southeast Louisville,2017,1477435.2999384222,2919662.019167493,26.369588418976623,52.110766387654266
Southeast Louisville,2018,1679319.26893696,3644881.3807382025,29.972857659330334,65.05464019308565
St. Matthews,2012,2939000.1382626924,5725150.107252339,140.93896025812558,274.5480318060873
St. Matthews,2013,1713753.760526746,5619183.475688857,81.31690441408048,266.62792292711066
St. Matthews,2014,1523035.2620671503,8103286.352269581,72.78543665792833,387.2538280654519
St. Matthews,2015,1448232.1838370373,6085264.747964816,69.11153346872047,290.3967906449447
St. Matthews,2016,3027102.482233806,8093519.046359101,146.01816035086614,390.40659140220447
St. Matthews,2017,2665920.542882632,7911971.305281682,128.595848868006,381.6492839362154
St. Matthews,2018,2608579.51859534,7091881.674786552,125.82989332860645,342.0906697596137
Valley Station,2012,582826.9984302096,830044.746223599,19.899177111892165,28.339811745829458
Valley Station,2013,399814.1615967235,1043674.1770996375,13.821487247095222,36.0795857537815
Valley Station,2014,294804.58822174516,577297.6161935554,10.61058840418029,20.778059897550943
Valley Station,2015,548806.8892442505,843757.349495801,19.408243068368304,29.838998107854476
Valley Station,2016,857353.575161841,1305678.5633811825,30.28875768960083,46.12727207592675
Valley Station,2017,260674.65085430752,809866.9554393133,9.209165931403502,28.611140939705834
Valley Station,2018,528424.6449516003,850697.7672578252,18.66829099666503,30.0536199836722
