FIPS,year,cdfi,cdfi_pp
01073,2000,31299.96527494077,0.04727755774883168
01073,2001,545.5327039552537,8.291078027137385e-4
01073,2002,0,0
01073,2003,1120.4815783775423,0.0017242613459609029
01073,2004,37247.36766654093,0.057679767893437
01073,2005,449478.11050868576,0.7004598957575866
01073,2006,783014.1295733314,1.1923467787015858
01073,2007,615268.9581647831,0.9339535081791968
01073,2008,1979689.724450475,3.0017903246087965
01073,2009,670170.0339724789,1.0077335716782612
01073,2010,4661335.992433199,7.078127100140761
01073,2011,1732015.5952520734,2.6285234649031133
01073,2012,1024951.6786025716,1.5529359123929698
01073,2013,574634.3121422944,0.8713458838602812
01073,2014,1532874.81095365,2.3197503771281625
01073,2015,676542.1147586601,1.0244941294138867
01073,2016,3645110.8951046686,5.52690648986866
01073,2017,1769075.7795315234,2.6836829954194625
12031,2000,0,0
12031,2001,2726.303089093088,0.0034719237019340873
12031,2002,962835.0923711829,1.2163050338023746
12031,2003,373116.41560590826,0.46758177446921373
12031,2004,810074.3718423237,1.0071365507550516
12031,2005,63516.94155464341,0.07834846213342504
12031,2006,2258285.068366693,2.694966691130756
12031,2007,5993722.549253516,7.058421978985698
12031,2008,0,0
12031,2009,2172066.903696871,2.534382180174637
12031,2010,1797960.7607534693,2.076464483082415
12031,2011,3393024.090325575,3.896851979623014
12031,2012,1634708.439544765,1.8584637592283386
12031,2013,3003399.6591639067,3.3903964634888406
12031,2014,1840608.9124294638,2.0503653928486685
12031,2015,1627480.3264448256,1.7825438127127038
12031,2016,1358856.6002869164,1.4670437409643309
12031,2017,7028968.693397801,7.494097338829599
18097,2000,680299.8763673503,0.7906289893095393
18097,2001,3010571.882497004,3.512097264627444
18097,2002,1490672.199519451,1.7456257243064337
18097,2003,814175.358130075,0.957072166424717
18097,2004,4469738.068168993,5.274398138404769
18097,2005,3297345.0519914976,3.905941517686837
18097,2006,1913079.5661136832,2.2103647887400673
18097,2007,3962715.924016365,4.5195002805830775
18097,2008,3123677.9402517285,3.5481018881071
18097,2009,4386359.1018932145,4.923630596178846
18097,2010,5802335.476833885,6.412284834899163
18097,2011,5276671.360182202,5.790293560140944
18097,2012,9080038.612692105,9.880593978621995
18097,2013,10294132.965214873,11.089457788336585
18097,2014,12512819.595091034,13.393538506674425
18097,2015,13397769.810285727,14.26782156959993
18097,2016,10819373.574049663,11.49494286092934
18097,2017,11911747.526023583,12.53759941354913
21111,2000,0,0
21111,2001,21153.336692768677,0.030555618187487834
21111,2002,0,0
21111,2003,0,0
21111,2004,195497.94326669181,0.28401099107468536
21111,2005,21570.82607564319,0.03139711989491492
21111,2006,2251469.4162689648,3.2095073646029433
21111,2007,242829.17356672304,0.3423678257556045
21111,2008,451772.3944888756,0.6328434653152792
21111,2009,256609.82439276468,0.3556152412475224
21111,2010,2892309.634318358,3.897088052794174
21111,2011,6066175.575196532,8.121738980804187
21111,2012,390709.39708557574,0.5203713727852127
21111,2013,4461341.768618157,5.894758372555808
21111,2014,3954378.7545946636,5.202951944531718
21111,2015,2540872.3458378376,3.3273910631788692
21111,2016,1145143.863725609,1.4962316211698785
21111,2017,267595.3762563465,0.34700460379889275
26081,2000,0,0
26081,2001,0,0
26081,2002,57538.115215024074,0.09951182474937742
26081,2003,0,0
26081,2004,5908.610637495285,0.010150985697480495
26081,2005,298322.5903027193,0.5108202304128535
26081,2006,108237.89140964455,0.18053971385573314
26081,2007,534613.3141041807,0.884638052230041
26081,2008,0,0
26081,2009,47233.81311234065,0.07764696433975925
26081,2010,14384.183066047312,0.023845706229490966
26081,2011,1646808.609449633,2.7065502338711993
26081,2012,17082.671317773656,0.027801021572975475
26081,2013,1068577.948222786,1.7187999810564356
26081,2014,1508194.943263467,2.3968630949284084
26081,2015,8986358.972936217,14.12130222078105
26081,2016,5292735.933184547,8.241916015130732
26081,2017,3725293.2100724694,5.743644267557932
29095,2000,0,0
29095,2001,0,0
29095,2002,312966.61277203506,0.47898136085015414
29095,2003,1700074.7039223572,2.6048373441300994
29095,2004,66667.11071897397,0.10226259189609223
29095,2005,128060.94645092722,0.1966595254636226
29095,2006,1723803.3287121588,2.595784423986578
29095,2007,1440933.0936587562,2.160675814090414
29095,2008,85516.73990991148,0.12793920548087717
29095,2009,4082894.6546124592,5.785529786558264
29095,2010,6500246.777298136,9.626301578058397
29095,2011,7529788.562366264,11.132811760550984
29095,2012,8549978.049995927,12.622185356154588
29095,2013,16981419.474248312,24.97282259638044
29095,2014,7652304.223827377,11.200827036403256
29095,2015,8359769.089720922,12.157489045190346
29095,2016,37551639.975963414,54.28098539314545
29095,2017,50624511.65497903,72.43507487530891
31055,2000,59122.15663044367,0.12753250564717078
31055,2001,2720.8613663603674,0.005840630808161174
31055,2002,53738.783239958975,0.11479795666110033
31055,2003,0,0
31055,2004,172120.3968313844,0.36416236888510206
31055,2005,298884.1680715385,0.6293450970420656
31055,2006,334112.48272668995,0.6790862712761709
31055,2007,74739.41442089198,0.15025534848274277
31055,2008,2174517.3819828318,4.331431825028747
31055,2009,322454.889422912,0.632017878166974
31055,2010,618443.0658370119,1.1921173564691803
31055,2011,899459.0718716445,1.7137090998791003
31055,2012,4216127.987952333,7.936016842728832
31055,2013,791338.0991934995,1.4729255684319944
31055,2014,4631627.238878822,8.525869110158276
31055,2015,2136461.2510533454,3.8840230428701847
31055,2016,3266383.6171194767,5.885428908583819
31055,2017,1730815.359431537,3.0818264296704836
37081,2000,1640214.1669670728,3.8955514976132717
37081,2001,2364884.2716460247,5.593930044413069
37081,2002,3964558.581484258,9.340020688115198
