tract,total_loan,business_loan,total_loan_pp,business_loan_pp
1400000US21111003000,5306000,438000,1544.2374854481957,127.47380675203725
1400000US21111003500,4616000,64000,974.2507387083158,13.50780920219502
1400000US21111006500,4313000,599000,1318.960244648318,183.18042813455656
1400000US21111000900,138000,119000,68.11451135241856,58.73642645607108
1400000US21111001000,40000,21000,9.210223347916187,4.8353672576559985
1400000US21111002100,315000,7000,116.70989255279733,2.5935531678399406
1400000US21111002300,1182000,249000,522.3155103844455,110.0309323906319
1400000US21111002700,10209000,625000,4910.533910533911,300.6253006253006
1400000US21111002800,3351000,351000,1554.9883990719256,162.877030162413
1400000US21111003600,391000,302000,90.27938120526437,69.72985453705842
1400000US21111004301,195000,60000,46.318289786223275,14.251781472684085
1400000US21111005000,7173000,632000,3284.3406593406594,289.3772893772894
1400000US21111005900,19024000,6318000,3639.563803328869,1208.7239334226133
1400000US21111006200,6690000,1578000,2268.5656154628687,535.0966429298068
1400000US21111011901,403000,17000,1046.7532467532467,44.15584415584416
1400000US21111000200,3090000,1261000,2022.2513089005236,825.261780104712
1400000US21111000300,124000,87000,46.35514018691589,32.52336448598131
1400000US21111000600,1863000,95000,1327.8688524590164,67.71204561653599
1400000US21111001400,134000,58000,54.03225806451613,23.387096774193548
1400000US21111001500,1205000,32000,519.3965517241379,13.793103448275861
1400000US21111001600,155000,96000,47.63368162261832,29.502151198524892
1400000US21111001700,39000,30000,15.463917525773196,11.89532117367169
1400000US21111001800,945000,918000,1615.3846153846155,1569.2307692307693
1400000US21111002400,5425000,1332000,831.5450643776824,204.1692213366033
1400000US21111003700,160000,21000,85.1063829787234,11.170212765957446
1400000US21111003900,2199000,634000,680.594243268338,196.22407923243577
1400000US21111004000,218000,30000,123.37294850028296,16.97792869269949
1400000US21111005300,1508000,374000,424.66910729372006,105.32244438186426
1400000US21111009105,1239000,138000,548.9587948604342,61.143110323438194
1400000US21111011302,2323000,143000,305.53728791266605,18.80836511903196
1400000US21111011906,2130000,1158000,725.9713701431493,394.6830265848671
1400000US21111000700,49000,26000,18.30407172207695,9.712364587224505
1400000US21111000800,52000,32000,22.90748898678414,14.09691629955947
1400000US21111001200,117000,71000,37.57225433526011,22.800256904303147
1400000US21111003800,108000,30000,31.72737955346651,8.813160987074031
1400000US21111005600,3127000,213000,970.8165166097485,66.12853151195281
1400000US21111007100,11351000,2928000,2966.0308335510845,765.0901489417298
1400000US21111009103,12775000,1751000,6517.857142857143,893.3673469387755
1400000US21111011404,6447000,432000,1871.4078374455733,125.39912917271408
1400000US21111011405,585000,432000,82.382762991128,60.836501901140686
1400000US21111012501,1231000,315000,398.124191461837,101.875808538163
1400000US21111012801,5904000,536000,1652.3929471032745,150.0139938427092
1400000US21111000400,64000,59000,16.096579476861166,14.839034205231389
1400000US21111004100,2974000,136000,1452.1484375,66.40625
1400000US21111004302,546000,532000,526.5188042430087,513.0183220829315
1400000US21111004400,406000,235000,88.16503800217156,51.0314875135722
1400000US21111004500,983000,429000,297.1584038694075,129.6856106408706
1400000US21111007602,1124000,1021000,377.5613033254955,342.96271414175345
1400000US21111010901,4637000,1675000,1061.3412680247195,383.38292515449757
1400000US21111011002,8143000,2215000,1441.7492917847026,392.1742209631728
1400000US21111011200,2120000,666000,569.433252753156,178.88799355358583
1400000US21111011301,31474000,7807000,11605.457227138642,2878.687315634218
1400000US21111011800,6179000,970000,2163.515406162465,339.6358543417367
1400000US21111011904,966000,588000,439.89071038251365,267.75956284153006
1400000US21111011905,1211000,994000,173.62007168458783,142.5089605734767
1400000US21111012409,100000,99000,31.308703819661865,30.995616781465248
1400000US21111012603,2107000,637000,624.4813278008298,188.7966804979253
1400000US21111012701,7368000,1079000,1995.1259138911455,292.17438396967236
1400000US21111012702,1633000,225000,940.668202764977,129.6082949308756
1400000US21111012802,3590000,1060000,2592.0577617328518,765.3429602888086
1400000US21111001100,142000,118000,55.533828705514274,46.14782948768087
1400000US21111005200,6671000,703000,1965.5274012964055,207.1302298173247
1400000US21111006300,1951000,836000,1303.2732130928523,558.4502338009352
1400000US21111007601,2816000,383000,1323.3082706766918,179.9812030075188
1400000US21111009000,2567000,543000,292.6690229164291,61.908562307604605
1400000US21111011004,2754000,1564000,420.137299771167,238.59649122807016
1400000US21111011005,2965000,930000,937.697659709045,294.11764705882354
1400000US21111011403,6582000,989000,2884.3120070113937,433.3917616126205
1400000US21111011710,153000,142000,72.82246549262256,67.58686339838172
1400000US21111011713,340000,164000,168.40019811788014,81.22833085685983
1400000US21111012002,815000,367000,149.9815973500184,67.53772543246228
1400000US21111012003,702000,490000,412.6984126984127,288.06584362139915
1400000US21111012104,227000,201000,50.13250883392226,44.390459363957596
1400000US21111012502,2615000,1807000,485.78859372097344,335.68642021177783
1400000US21111012604,516000,68000,95.5909596146721,12.597258243793998
1400000US21111006900,724000,592000,258.4791146019279,211.35308818279185
1400000US21111007603,383000,114000,128.05081912403878,38.11434302908726
1400000US21111008100,8673000,2598000,2599.820143884892,778.7769784172662
1400000US21111009106,1587000,509000,261.4497528830313,83.85502471169687
1400000US21111010004,4732000,1868000,1217.391304347826,480.5762799073836
1400000US21111010104,6189000,1769000,2176.1603375527425,622.0112517580872
1400000US21111011003,2957000,1969000,395.0040074806305,263.0243120491584
1400000US21111011106,2109000,1569000,267.6395939086294,199.11167512690355
1400000US21111011406,3497000,862000,775.3880266075388,191.13082039911308
1400000US21111011509,2581000,2313000,623.128923225495,558.4258812168035
1400000US21111011712,2931000,539000,624.2811501597444,114.80298189563365
